Title,Author,Year,Type,Domain,Lenses,Source_URL,Priority,Status,Why_Chosen
The Kybalion,Three Initiates,1908,book_esoteric,hermeticism,"symbolic_occult,philosophical,historical_anthropological",https://www.sacred-texts.com/eso/kyb/index.htm,1,queued,"Foundational hermetic principles - Seven Universal Laws. Short (70 pages) and accessible for new users. Bridges occult and philosophical perspectives perfectly."
On the Origin of Species,Charles Darwin,1859,book_science,evolution,"scientific,historical_anthropological",https://www.gutenberg.org/ebooks/1228,1,queued,"Most influential scientific text of modern era. Essential for scientific lens. Shows how empirical observation reveals truth. Readable and culturally significant."
The Interpretation of Dreams,Sigmund Freud,1900,book_psychology,psychoanalysis,"psychological,scientific",https://www.gutenberg.org/ebooks/56657,1,queued,"Birth of depth psychology. Essential for psychological lens. Shows how unconscious shapes reality. Historical milestone that changed how we see the mind."
Meditations,Marcus Aurelius,180,book_philosophical,stoicism,"philosophical,psychological",https://www.gutenberg.org/ebooks/2680,1,queued,"Most accessible ancient philosophy. Written by Roman Emperor as personal journal. Timeless wisdom on virtue and resilience. Perfect beginner text."
The Bhagavad Gita,Vyasa,500BCE,book_spiritual,hinduism,"religious_spiritual,philosophical,historical_anthropological",https://www.gutenberg.org/ebooks/2388,1,queued,"Central Hindu scripture. Shows convergence of duty, devotion, and wisdom. Essential for religious/spiritual lens. Influences billions globally."
The Elements Book I,Euclid,300BCE,reference_table,geometry,"mathematical,philosophical",https://www.gutenberg.org/ebooks/21076,1,queued,"Foundation of Western mathematics. Shows logical reasoning and universal patterns. Essential for mathematical lens. Influenced 2000+ years of thought."
The Golden Bough,James George Frazer,1890,anthropology,comparative_religion,"historical_anthropological,religious_spiritual",https://www.gutenberg.org/ebooks/3623,1,queued,"Groundbreaking comparative religion study. Shows ritual patterns across cultures. Essential for historical/anthropological lens. Reveals human universals."
The Tao Te Ching,Lao Tzu,600BCE,book_spiritual,taoism,"religious_spiritual,philosophical,symbolic_occult",https://www.gutenberg.org/ebooks/216,1,queued,"Most translated text after the Bible. 81 short verses of profound wisdom. Shows Eastern spiritual/philosophical convergence. Beautiful and accessible."
The Republic,Plato,380BCE,book_philosophical,political_philosophy,"philosophical,historical_anthropological",https://www.gutenberg.org/ebooks/1497,1,queued,"Western philosophy's foundation. Introduces Theory of Forms and ideal society. Essential for philosophical lens. Influences all subsequent Western thought."
The Secret Teachings of All Ages,Manly P. Hall,1928,book_esoteric,mystery_traditions,"symbolic_occult,philosophical,historical_anthropological",https://www.sacred-texts.com/eso/sta/index.htm,1,queued,"Encyclopedia of esoteric wisdom. Covers symbolism, alchemy, Qabalah, astrology in one volume. Visual diagrams included. Shows breadth of occult knowledge."
Thus Spoke Zarathustra,Friedrich Nietzsche,1883,book_philosophical,existentialism,"philosophical,psychological,religious_spiritual",https://www.gutenberg.org/ebooks/1998,1,queued,"Poetic philosophy masterpiece. Introduces Übermensch and eternal return. Bridges philosophy, psychology, and spirituality. Culturally influential and readable."
The Varieties of Religious Experience,William James,1902,book_psychology,religious_psychology,"psychological,religious_spiritual,philosophical",https://www.gutenberg.org/ebooks/621,1,queued,"Psychology meets religion. Scientific study of mystical experiences. Bridges scientific and spiritual lenses perfectly. Validates spiritual experience empirically."
The Emerald Tablet,Hermes Trismegistus,150CE,book_esoteric,hermeticism,"symbolic_occult,philosophical,historical_anthropological",https://www.sacred-texts.com/alc/emerald.htm,1,queued,"'As above, so below' - most famous occult phrase. Foundation of Western alchemy. Only one page but infinitely interpreted. Essential symbolic text."
Cosmic Consciousness,Richard Maurice Bucke,1901,book_psychology,consciousness,"psychological,religious_spiritual,philosophical",https://www.gutenberg.org/ebooks/8819,1,queued,"Documents mystical enlightenment experiences. Case studies of illuminated individuals. Bridges psychology and spirituality. Shows consciousness evolution."
The Confessions,St. Augustine,397,book_spiritual,christianity,"religious_spiritual,philosophical,psychological",https://www.gutenberg.org/ebooks/3296,1,queued,"First autobiography in Western literature. Profound spiritual conversion narrative. Shows inner psychological struggle. Influences Christian mysticism profoundly."
The Upanishads,Various Sages,800BCE,book_spiritual,hinduism,"religious_spiritual,philosophical,psychological",https://www.gutenberg.org/ebooks/3283,1,queued,"Hindu philosophical core texts. 'Thou art That' - reveals unity of self and cosmos. Essential Eastern wisdom. Influenced Schopenhauer and countless others."
Isis Unveiled Volume 1,Helena Blavatsky,1877,book_esoteric,theosophy,"symbolic_occult,philosophical,religious_spiritual,historical_anthropological",https://www.sacred-texts.com/the/iu/index.htm,1,queued,"Launched modern occult revival. Synthesizes Eastern and Western esotericism. Massive influence on New Age thought. Shows cross-tradition synthesis."
